 2^N を M進数で表したときの桁数
36 :   1  1  2  2  2|  2  2  3  3  3  3  3  4|  4  4  4  4  5  5  5  5|  5  6  6  6  6  6  6  7|  7  7  7  7  8  8  8  8|  8  9  9  9  9  9 10 10| 10 10 10 11 11 11 11 11| 12 12 12 12 12 12 13 13| 13 13 13 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 23 23 23 23 23 24 24 24 24 24 24 25 25 25 25
37 :   1  1  2  2  2|  2  2  3  3  3  3  3  4|  4  4  4  4  5  5  5  5|  5  5  6  6  6  6  6  7|  7  7  7  7  8  8  8  8|  8  9  9  9  9  9 10 10| 10 10 10 10 11 11 11 11| 11 12 12 12 12 12 13 13| 13 13 13 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 23 23 23 23 23 24 24 24 24 24 24 25 25 25
38 :   1  1  2  2  2|  2  2  3  3  3  3  3  4|  4  4  4  4  5  5  5  5|  5  5  6  6  6  6  6  7|  7  7  7  7  8  8  8  8|  8  9  9  9  9  9  9 10| 10 10 10 10 11 11 11 11| 11 12 12 12 12 12 13 13| 13 13 13 13 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 23 23 23 23 23 24 24 24 24 24 25 25 25
39 :   1  1  2  2  2|  2  2  3  3  3  3  3  4|  4  4  4  4  4  5  5  5|  5  5  6  6  6  6  6  7|  7  7  7  7  8  8  8  8|  8  8  9  9  9  9  9 10| 10 10 10 10 11 11 11 11| 11 11 12 12 12 12 12 13| 13 13 13 13 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 22 23 23 23 23 23 24 24 24 24 24 25 25
40 :   1  1  2  2  2|  2  2  3  3  3  3  3  4|  4  4  4  4  4  5  5  5|  5  5  6  6  6  6  6  7|  7  7  7  7  7  8  8  8|  8  8  9  9  9  9  9 10| 10 10 10 10 10 11 11 11| 11 11 12 12 12 12 12 13| 13 13 13 13 13 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 22 23 23 23 23 23 24 24 24 24 24 25
41 :   1  1  2  2  2|  2  2  3  3  3  3  3  3|  4  4  4  4  4  5  5  5|  5  5  6  6  6  6  6  6|  7  7  7  7  7  8  8  8|  8  8  9  9  9  9  9  9| 10 10 10 10 10 11 11 11| 11 11 12 12 12 12 12 12| 13 13 13 13 13 14 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 23 23 23 23 23 23 24 24 24 24 24
42 :   1  1  2  2  2|  2  2  3  3  3  3  3  3|  4  4  4  4  4  5  5  5|  5  5  6  6  6  6  6  6|  7  7  7  7  7  8  8  8|  8  8  8  9  9  9  9  9| 10 10 10 10 10 11 11 11| 11 11 11 12 12 12 12 12| 13 13 13 13 13 13 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 23 23 23 23 23 23 24 24 24 24
43 :   1  1  2  2  2|  2  2  3  3  3  3  3  3|  4  4  4  4  4  5  5  5|  5  5  5  6  6  6  6  6|  7  7  7  7  7  8  8  8|  8  8  8  9  9  9  9  9| 10 10 10 10 10 10 11 11| 11 11 11 12 12 12 12 12| 12 13 13 13 13 13 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 22 23 23 23 23 23 24 24 24 24
44 :   1  1  2  2  2|  2  2  3  3  3  3  3  3|  4  4  4  4  4  5  5  5|  5  5  5  6  6  6  6  6|  7  7  7  7  7  7  8  8|  8  8  8  9  9  9  9  9|  9 10 10 10 10 10 11 11| 11 11 11 11 12 12 12 12| 12 13 13 13 13 13 14 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 22 23 23 23 23 23 24 24 24
45 :   1  1  2  2  2|  2  2  3  3  3  3  3  3|  4  4  4  4  4  5  5  5|  5  5  5  6  6  6  6  6|  7  7  7  7  7  7  8  8|  8  8  8  9  9  9  9  9|  9 10 10 10 10 10 11 11| 11 11 11 11 12 12 12 12| 12 13 13 13 13 13 13 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 23 23 23 23 23 23 24 24
